raw_ticker,identifier,ark_name,ticker,cik,sec_name,resolution,evidence,observed_forms,funds,n_10k,n_10q,status
2618,BNMBPD9,JD LOGISTICS INC,2618,,,no_verified_sec_match,https://www.sec.gov/Archives/edgar/data/1549802/000119312521043418/d131620dex991.htm,,ARKX,0,0,no_verified_sec_match
4689,6084848,LY CORP,4689,,,no_verified_sec_match,https://www2.jpx.co.jp/tseHpFront/StockSearch.do?callJorEFlg=1&topSearchStr=4689,,ARKF,0,0,no_verified_sec_match
6301,6496584,KOMATSU LTD,6301,0000056594,KOMATSU LTD,verified,https://data.sec.gov/submissions/CIK0000056594.json,,ARKX,0,0,no_10x_filings
ADYEN,BZ1HM42,ADYEN NV,ADYEN,0001788707,Adyen N.V./ADR,verified,https://data.sec.gov/submissions/CIK0001788707.json,"F-6 POS, F-6EF, SC 13G, SCHEDULE 13G/A",ARKF,0,0,no_10x_filings
AIR,4012250,AIRBUS SE,AIR,0001697546,AIRBUS SE,verified,https://data.sec.gov/submissions/CIK0001697546.json,D,ARKX,0,0,no_10x_filings
ALMR,010911105,ALAMAR BIOSCIENCES INC,ALMR,0002104204,"Alamar Biosciences, Inc.",verified,https://data.sec.gov/submissions/CIK0002104204.json,,ARKG,0,0,no_10x_filings
ARKY,00214Q724,ARK ACTIVE AUTOCALL INC ETF,ARKY,,,fund_holding,Frozen holdings: fund security; outside operating-company sample,,ARKK,0,0,fund_holding
BABA,01609W102,ALIBABA GROUP HOLDING-SP ADR,BABA,0001577552,Alibaba Group Holding Ltd,verified,https://data.sec.gov/submissions/CIK0001577552.json,"13F-HR, 144, 20-F, 20-F/A, 424B2, 424B3, 424B5, 6-K, CORRESP, EFFECT, F-3ASR, F-4, F-6EF, FWP, IRANNOTICE, N-PX, S-8, SC 13D/A, SC 13G, SC 13G/A, SCHEDULE 13G/A, SD, UPLOAD",ARKF,0,0,no_10x_filings
BIDU,056752108,BAIDU INC - SPON ADR,BIDU,0001329099,"Baidu, Inc.",verified,https://data.sec.gov/submissions/CIK0001329099.json,"144, 144/A, 20-F, 424B2, 424B5, 6-K, CORRESP, F-3ASR, FWP, S-8, SC 13D/A, SC 13G, SC 13G/A, SCHEDULE 13G/A, UPLOAD",ARKQ,0,0,no_10x_filings
BLSH,G16910120,BULLISH,BLSH,0001872195,Bullish,verified,https://data.sec.gov/submissions/CIK0001872195.json,"424B4, 425, 6-K, 8-A12B, CERT, CORRESP, DRS, DRS/A, DRSLTR, EFFECT, F-1, F-1/A, F-4, F-4/A, RW, S-8, SCHEDULE 13D, SCHEDULE 13G, UPLOAD",ARKF|ARKK|ARKW,0,0,no_10x_filings
BYDDY,05606L100,BYD CO LTD-UNSPONSORED ADR,BYDDY,0001445162,BYD CO LTD,verified,https://data.sec.gov/submissions/CIK0001445162.json,"F-6 POS, F-6EF",ARKQ,0,0,no_10x_filings
CBRS,15675D103,CEREBRAS SYSTEMS INC - A,CBRS,0002021728,Cerebras Systems Inc.,verified,https://data.sec.gov/submissions/CIK0002021728.json,"DRS, DRS/A, RW, S-1",ARKK|ARKW,0,0,no_10x_filings
CCJ,13321L108,CAMECO CORP,CCJ,0001009001,CAMECO CORP,verified,https://data.sec.gov/submissions/CIK0001009001.json,"144, 144/A, 40-F, 6-K, CORRESP, F-10, F-X, FWP, S-8, SC 13G, SC 13G/A, SCHEDULE 13G, SCHEDULE 13G/A, SD, SUPPL, UPLOAD",ARKQ,0,0,no_10x_filings
